id,instrumentid,footprint
76,38,"POLYGON ((0.31578 -0.33331, 0.31525 -0.48301, 0.61439 -0.48321, 0.615 -0.33363, 0.31578 -0.33331))"
77,38,"POLYGON ((0.6262799999999999 -0.33357, 0.62569 -0.48315, 0.92431 -0.48334, 0.92479 -0.33382, 0.6262799999999999 -0.33357))"
78,38,"POLYGON ((-0.77241 -0.49494, -0.77263 -0.64441, -0.47375 -0.64555, -0.47357 -0.49609, -0.77241 -0.49494))"
79,38,"POLYGON ((-0.46235 -0.49602, -0.46245 -0.64552, -0.1626 -0.64645, -0.16228 -0.49692, -0.46235 -0.49602))"
80,38,"POLYGON ((-0.15134 -0.49686, -0.15165 -0.64635, 0.14793 -0.64699, 0.14842 -0.4975, -0.15134 -0.49686))"
81,38,"POLYGON ((0.15967 -0.4977, 0.15915 -0.64718, 0.45847 -0.64752, 0.45913 -0.49808, 0.15967 -0.4977))"
82,38,"POLYGON ((0.47042 -0.49794, 0.46981 -0.64738, 0.76863 -0.64751, 0.76922 -0.49806, 0.47042 -0.49794))"
83,38,"POLYGON ((-0.61755 -0.65969, -0.61776 -0.80906, -0.31869 -0.81008, -0.31846 -0.66081, -0.61755 -0.65969))"
84,38,"POLYGON ((-0.30734 -0.66077, -0.30753 -0.81004, -0.008200000000000001 -0.81081, -0.00783 -0.66155, -0.30734 -0.66077))"
85,38,"POLYGON ((0.00361 -0.66173, 0.00332 -0.8110000000000001, 0.30265 -0.81123, 0.30311 -0.66196, 0.00361 -0.66173))"
86,38,"POLYGON ((0.31438 -0.66205, 0.31387 -0.81132, 0.61289 -0.81146, 0.61343 -0.66209, 0.31438 -0.66205))"
87,38,"POLYGON ((-0.46259 -0.82435, -0.46291 -0.97371, -0.16376 -0.97458, -0.16339 -0.8254, -0.46259 -0.82435))"
88,38,"POLYGON ((0.15869 -0.82596, 0.15818 -0.97514, 0.45731 -0.97568, 0.45786 -0.82634, 0.15869 -0.82596))"
89,39,"POLYGON ((-0.0808 0.0808, 0.0808 0.0808, 0.0808 -0.0808, -0.0808 -0.0808, -0.0808 0.0808))"
90,40,"POLYGON ((0 4, 1.2361 3.8042, 2.3511 3.2361, 3.2361 2.3511, 3.8042 1.2361, 4 0, 3.8042 -1.2361, 3.2361 -2.3511, 2.3511 -3.2361, 1.2361 -3.8042, 0 -4, -1.2361 -3.8042, -2.3511 -3.2361, -3.2361 -2.3511, -3.8042 -1.2361, -4 0, -3.8042 1.2361, -3.2361 2.3511, -2.3511 3.2361, -1.2361 3.8042, 0 4))"
139,47,"POLYGON ((-1.77524 0.96154, -1.77518 0.10631, -0.92216 0.10631, -0.9221 0.96154, -1.77524 0.96154))"
140,47,"POLYGON ((-0.91029 0.96005, -0.91023 0.10481, -0.05721 0.10481, -0.05715 0.96005, -0.91029 0.96005))"
91,41,"POLYGON ((0 5, 1.5451 4.7553, 2.9389 4.0451, 4.0451 2.9389, 4.7553 1.5451, 5 0, 4.7553 -1.5451, 4.0451 -2.9389, 2.9389 -4.0451, 1.5451 -4.7553, 0 -5, -1.5451 -4.7553, -2.9389 -4.0451, -4.0451 -2.9389, -4.7553 -1.5451, -5 0, -4.7553 1.5451, -4.0451 2.9389, -2.9389 4.0451, -1.5451 4.7553, 0 5))"
92,42,"POLYGON ((-0.5 0.5, 0.5 0.5, 0.5 -0.5, -0.5 -0.5, -0.5 0.5))"
93,43,"POLYGON ((-0.2083 0.1417, 0.2083 0.1417, 0.2083 -0.1417, -0.2083 -0.1417, -0.2083 0.1417))"
94,44,"POLYGON ((-2.48 2.48, 2.48 2.48, 2.48 -2.48, -2.48 -2.48, -2.48 2.48))"
95,45,"POLYGON ((-0.0417 0.0417, 0.0417 0.0417, 0.0417 -0.0417, -0.0417 -0.0417, -0.0417 0.0417))"
96,46,"POLYGON ((-0.35 0.35, 0.35 0.35, 0.35 -0.35, -0.35 -0.35, -0.35 0.35))"
97,47,"POLYGON ((2.79091 -2.0107, 2.79063 -2.86594, 3.64472 -2.86594, 3.64445 -2.0107, 2.79091 -2.0107))"
98,47,"POLYGON ((1.92541 -2.00761, 1.92514 -2.86284, 2.77922 -2.86284, 2.77895 -2.00761, 1.92541 -2.00761))"
99,47,"POLYGON ((1.92198 -2.87396, 1.92161 -3.7292, 2.77644 -3.7292, 2.77607 -2.87396, 1.92198 -2.87396))"
100,47,"POLYGON ((2.78807 -2.87695, 2.78771 -3.73219, 3.64254 -3.73219, 3.64217 -2.87695, 2.78807 -2.87695))"
101,47,"POLYGON ((0.93337 -2.01029, 0.9331 -2.86552, 1.78719 -2.86552, 1.78691 -2.01029, 0.93337 -2.01029))"
